iteration: 0, w: 0.087894, b: 0.000257
iteration: 1000, w: 1.002918, b: 0.003184
iteration: 2000, w: 1.002917, b: 0.003433
iteration: 3000, w: 1.002916, b: 0.003681
iteration: 4000, w: 1.002915, b: 0.003929
iteration: 5000, w: 1.002915, b: 0.004178
iteration: 6000, w: 1.002914, b: 0.004426
iteration: 7000, w: 1.002913, b: 0.004674
iteration: 8000, w: 1.002912, b: 0.004922
iteration: 9000, w: 1.002912, b: 0.005170
iteration: 10000, w: 1.002911, b: 0.005418
iteration: 11000, w: 1.002910, b: 0.005666
iteration: 12000, w: 1.002910, b: 0.005914
iteration: 13000, w: 1.002909, b: 0.006161
iteration: 14000, w: 1.002908, b: 0.006409
iteration: 15000, w: 1.002907, b: 0.006657
iteration: 16000, w: 1.002907, b: 0.006904
iteration: 17000, w: 1.002906, b: 0.007152
iteration: 18000, w: 1.002905, b: 0.007399
iteration: 19000, w: 1.002904, b: 0.007647
iteration: 20000, w: 1.002904, b: 0.007894
iteration: 21000, w: 1.002903, b: 0.008141
iteration: 22000, w: 1.002902, b: 0.008388
iteration: 23000, w: 1.002902, b: 0.008636
iteration: 24000, w: 1.002901, b: 0.008883
iteration: 25000, w: 1.002900, b: 0.009130
iteration: 26000, w: 1.002899, b: 0.009377
iteration: 27000, w: 1.002899, b: 0.009624
iteration: 28000, w: 1.002898, b: 0.009870
iteration: 29000, w: 1.002897, b: 0.010117
iteration: 30000, w: 1.002897, b: 0.010364
iteration: 31000, w: 1.002896, b: 0.010611
iteration: 32000, w: 1.002895, b: 0.010857
iteration: 33000, w: 1.002894, b: 0.011104
iteration: 34000, w: 1.002894, b: 0.011350
iteration: 35000, w: 1.002893, b: 0.011596
iteration: 36000, w: 1.002892, b: 0.011843
iteration: 37000, w: 1.002891, b: 0.012089
iteration: 38000, w: 1.002891, b: 0.012335
iteration: 39000, w: 1.002890, b: 0.012582
iteration: 40000, w: 1.002889, b: 0.012828
iteration: 41000, w: 1.002889, b: 0.013074
iteration: 42000, w: 1.002888, b: 0.013320
iteration: 43000, w: 1.002887, b: 0.013566
iteration: 44000, w: 1.002886, b: 0.013811
iteration: 45000, w: 1.002886, b: 0.014057
iteration: 46000, w: 1.002885, b: 0.014303
